mof,1s,2s,3s,4s,5s,6s,7s,2p,3p,4p,5p,6p,3d,4d,5d,6d,4f,5f,metal,linker1smi,oxidation_state,temperature,time
WOPHIU_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(OCc2cccc(COc3cc(C(=O)O)cc(C(=O)O)c3)c2)cc(C(=O)O)c1,2,85,72
KAVGAQ_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1nc[nH]c1C(=O)O,2,160,96
OPENUT_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,7,0,Eu,O=C(O)c1cccc(C(=O)O)c1,3,60,96
KETHEY02_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1cc(C(=O)O)cc(-c2ccncc2)c1,2,120,48
CUGVUX_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,1,120,96
XOJWID_charged,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(P(=O)(O)O)cc1,2,170,48
VEHROR_charged,2,2,2,2,2,2,0,6,6,6,6,0,10,10,1,0,0,0,La,O=C(O)c1cccc(C(=O)O)n1,3,102,48
KOMFUO_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,c1nncn1-n1cnnc1,2,25,252
EXOFIH_clean,2,2,2,2,2,0,0,6,6,6,1,0,10,10,0,0,0,0,In,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,3,105,36
WOPHIU01_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(OCc2cccc(COc3cc(C(=O)O)cc(C(=O)O)c3)c2)cc(C(=O)O)c1,2,85,72
HAMJOW_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(NC(=O)c2ccncc2)cc(C(=O)O)c1,2,120,120
ZOFZOL_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1cc(C(=O)O)cc(-c2cn(-c3cc(C(=O)O)cc(C(=O)O)c3)nn2)c1,2,110,48
FONPUV_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(-c2cc(C(=O)O)ccc2C(=O)O)cc1,2,130,72
PELRIJ_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1ccc(NC(=O)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)cc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1,2,70,48
NUBPIL_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(C(=O)O)cc(-n2ccnc2)c1,2,80,48
QASTUC_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,c1ccc(-c2cc(-c3ccc(-n4ccnc4)cc3)cc(-c3ccccn3)n2)nc1,2,120,72
QEPZOB_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,Cc1c(-c2ccncc2)c(C)c(-c2c(C)c(-c3ccncc3)c(C)c(-c3ccncc3)c2C)c(C)c1-c1ccncc1,2,25,240
ILOTOT_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1ccc(OCCCOc2ccc(C(=O)O)cc2)cc1,2,150,72
KUHNEI_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,2,85,48
LAHTUM_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,c1cc(-c2ccncc2)ccn1,2,100,72
FIPKOG01_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1cc(NC(=O)c2ccc(C(=O)Nc3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc(C(=O)O)c1,2,85,72
LATPIG_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,c1nc[nH]n1,2,60,24
BINSAU_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,O=C(O)c1ccc2cc(-c3cc(-c4ccc5cc(C(=O)O)ccc5c4)cc(-c4ccc5cc(C(=O)O)ccc5c4)c3)ccc2c1,2,100,168
DOKHUH_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,Cc1c(C(=O)O)c(C)c(C(=O)O)c(C)c1C(=O)O,2,180,72
XIFLOP_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,CC(C)c1nc(C(=O)O)c(C(=O)O)[nH]1,2,180,120
ADASIJ_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(OCc2cc(COc3cc(C(=O)O)cc(C(=O)O)c3)cc(COc3cc(C(=O)O)cc(C(=O)O)c3)c2)cc(C(=O)O)c1,2,115,23
TIRRIW_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,C1=CC(c2ccncc2)C=CN1,2,120,24
AVESAW_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,c1nnc[nH]1,2,160,72
NAJQUN_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,O=C(O)c1ccc(-c2cc(C(=O)O)c(C(=O)O)cc2-c2ccc(C(=O)O)cc2)cc1,2,85,72
OQUCOU_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,CC(Oc1cc(C(=O)O)cc(C(=O)O)c1)C(=O)O,2,100,72
HAVZIP_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)C(=O)O,2,160,120
IZEBAR_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,9,0,Tb,O=C(O)c1ccc(C#Cc2cc(C(=O)O)cc(C(=O)O)c2)cc1,3,80,72
PEZCII_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,1,0,0,0,La,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,3,80,48
NAGQET_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,c1ccc(-c2nc(-c3ccncc3)n[nH]2)nc1,2,130,24
MAQRAA_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1ccc(C(=O)O)s1,2,110,48
GISZUF_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,c1cc(C2C(c3ccncc3)C(c3ccncc3)C2c2ccncc2)ccn1,2,170,24
CEJBEA_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,10,0,Dy,O=C(O)c1cccc(C(=O)O)c1,3,85,48
TUBJAD_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(N=Cc1cccnc1)c1cccnc1,2,120,24
VIZQEC_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1ccc(S(=O)(=O)c2ccc(C(=O)O)cc2)cc1,2,160,72
LASMAV_neutral,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1ccncc1,2,140,96
ADASOP_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(OCc2cc(COc3cc(C(=O)O)cc(C(=O)O)c3)cc(COc3cc(C(=O)O)cc(C(=O)O)c3)c2)cc(C(=O)O)c1,2,85,12
FIMXUW_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,1,0,0,0,La,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1C(=O)O,3,140,72
PEKZIP_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,c1cc(-c2ccncc2)ccn1,1,180,72
MURBEI_clean,2,2,2,2,2,0,0,6,6,6,1,0,10,10,0,0,0,0,In,O=C(O)c1cc(C(=O)O)cc(-c2cc(C(=O)O)cc(C(=O)O)c2)c1,3,85,120
EBATUZ_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(C(=O)O)cc(C2=Cc3cc4c(cc3=C2)C=C(c2cc(C(=O)O)cc(C(=O)O)c2)C=4)c1,2,85,24
TAYNEN_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,c1cc(CCCc2ccncc2)ccn1,2,170,96
LALFEL_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)C(=O)O,2,120,72
IYOQAQ_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(C(=O)O)cc(-c2nn[nH]n2)c1,2,80,48
UWALEL_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(C(=O)O)cc(-c2cccc(-c3cc(C(=O)O)cc(C(=O)O)c3)n2)c1,2,105,72
OKIPOO_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,C1=CN(c2ccc(Oc3ccc(-n4ccnc4)cc3)cc2)CN1,2,90,72
QUQFIS_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1,2,65,24
CUKXIR_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,2,100,72
QATXIU_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1cccc(C(=O)O)c1-c1c(C(=O)O)cccc1C(=O)O,2,160,96
LUZJAT_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,2,110,72
FECYIX_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)C1CSC(C(=O)O)N1,2,90,24
NATFAS_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,2,85,72
DITTEH_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(-c2cc(C(=O)O)cc(C(=O)O)c2)cc1,2,110,60
SAJDIT_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,9,0,Tb,Cc1c(COc2cccc(C(=O)O)c2)c(C)c(COc2cccc(C(=O)O)c2)c(C)c1COc1cccc(C(=O)O)c1,3,140,72
SARNOQ_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,n1n[nH]c(-c2n[nH]nc2-c2nnn[nH]2)n1,2,95,72
YICGOI_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,c1cc(-c2ccc(N(c3ccc(-c4ccncc4)cc3)c3ccc(-c4ccncc4)cc3)cc2)ccn1,2,85,72
GIKMOD_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)O)c1,2,160,96
QIVZEC_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,CC(=NN=C(C)c1ccncc1)c1ccncc1,2,100,72
LAHVAU_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)c(C(=O)O)cc2C(=O)O)cc1,2,100,72
NUCREJ_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)Cn1ccnc1-c1nccn1CC(=O)O,2,160,72
SAMVEK_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,CC(=O)O,2,100,144
ECOLEP_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,c1c(-c2nn[nH]n2)cc(-c2nnn[nH]2)cc1-c1nnn[nH]1,2,85,72
YIPDOR_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,c1ncn(Cc2ccc(-c3ccc(Cn4cncn4)cc3)cc2)n1,2,140,120
FURFOP_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,c1cn(CCCCn2ccnc2)cn1,2,120,72
BAZGAM_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1ccc(-c2ccc(-c3cc(-c4ccc(-c5ccc(C(=O)O)cc5)cc4)cc(-c4ccc(-c5ccc(C(=O)O)cc5)cc4)c3)cc2)cc1,2,85,48
DEPXAY_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccncc1C(=O)O,2,140,120
EXAXAE_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cncc(C(=O)O)c1,1,85,24
GEZRAG_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,OCC(CO)(CO)c1ccncc1,2,120,72
GAHWIX_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(NC(=O)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)cc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1,2,95,24
IDAGEA_charged,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,NC(Cc1ccccc1)C(=O)O,2,25,252
IGINIX_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(C(=O)O)nc1,2,100,48
GIDKOU_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1nc[nH]c1C(=O)O,2,140,96
TEMPAE_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,Cc1cc(C(=O)O)cc(C)c1-c1c(C)cc(C(=O)O)cc1C,2,80,48
AZAVOO_clean,2,2,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,Mg,O=C(O)c1ccc(-c2c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c2-c2ccc(C(=O)O)cc2)cc1,2,180,24
FECYUJ_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,2,130,28
OFODET_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,O=C(O)c1cc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,2,55,48
YUGLES_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(C#Cc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,2,65,24
YOVPEG_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,c1cn(-c2ccc(-c3cc(-c4ccc(-n5ccnc5)cc4)cc(-c4ccc(-n5ccnc5)cc4)c3)cc2)cn1,2,120,120
ECIWIW_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1ccc(-c2ccncc2)cc1,2,75,48
VAKREG_charged,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1ccc(C(=O)O)cc1,2,160,72
BUCWAZ_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1cc(COc2cc(C(=O)O)cc(C(=O)O)c2)cc(COc2cc(C(=O)O)cc(C(=O)O)c2)c1,2,90,72
EXEMUR_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1ccc(N2C=CC(=C3C=CN(c4ccc(C(=O)O)cc4)C=C3)C=C2)cc1,2,100,48
DINNIZ_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,O=C(O)CCCCC(=O)O,2,90,24
TEDSIG_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,2,150,72
UWOWAF_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,O=C(O)c1ccc(-c2ccc(C(=O)O)s2)s1,2,100,48
XUKHUI_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(NCc2ccc(CNc3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc(C(=O)O)c1,2,120,24
HUVHIR_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)CN(CP(=O)(O)O)c1nc(N(CC(=O)O)CP(=O)(O)O)nc(N(CC(=O)O)CP(=O)(O)O)n1,2,110,120
HIFGIO_SL,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,Cc1cc(-c2ccc(C(=O)O)cc2)c(C)cc1-c1ccc(C(=O)O)cc1,2,100,60
VOCCOH_clean,2,2,2,2,0,0,0,6,6,0,0,0,8,0,0,0,0,0,Ni,O=C(O)c1cc(C(=O)O)cc(-c2cc(C(=O)O)ccc2C(=O)O)c1,2,160,72
XUGROI_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cccc(-c2cc(-c3cccc(C(=O)O)c3)c(-c3cccc(C(=O)O)c3)cc2-c2cccc(C(=O)O)c2)c1,2,75,24
FONKEA_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1ccc(-c2cc(C(=O)O)ccc2C(=O)O)cc1,2,150,36
QIWCOQ_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1ccc(-c2cnn(C(C(n3cc(-c4ccc(C(=O)O)cc4)cn3)n3cc(-c4ccc(C(=O)O)cc4)cn3)n3cc(-c4ccc(C(=O)O)cc4)cn3)c2)cc1,2,100,48
CABDER_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(NCc1ccncc1)c1ccncc1,2,100,96
RUGZAW_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1,2,70,72
TORXAB_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,c1nnn[nH]1,2,150,72
GOVWOF_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,O=C(O)c1cc(OCc2c(COc3cc(C(=O)O)cc(C(=O)O)c3)c(COc3cc(C(=O)O)cc(C(=O)O)c3)c(COc3cc(C(=O)O)cc(C(=O)O)c3)c(COc3cc(C(=O)O)cc(C(=O)O)c3)c2COc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,2,80,72
AVAQIX_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1ccncc1,2,80,504
NIYZIG_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(P(=O)(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1,2,120,72
LAWHOJ_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1ccc(C(=O)O)c2nsnc12,2,80,72
PUWDOA_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,2,90,24
OYIVIC_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1ccc(-c2nn[nH]n2)cc1,2,90,72
ORUHAM_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1ccc(C(=O)O)c2ccccc12,2,160,72
NAWXER_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(-c2nc(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)nc2-c2ccc(C(=O)O)cc2)cc1,2,85,24
MAQBIS_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,COc1cc(C(=O)O)cc(OC)c1-c1c(OC)cc(C(=O)O)cc1OC,2,70,24
PIBGAK_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,7,0,Eu,CC1(C)c2cc(C(=O)O)ccc2-c2ccc(C(=O)O)cc21,3,120,72
ETAXIH_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,CCCc1nc(C(=O)O)c(C(=O)O)[nH]1,2,180,120
VOFFED_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,c1cc(CCCc2ccncc2)ccn1,2,90,24
BAHGUN02_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1ccncc1,2,180,72
PUPXII01_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,N=C(NCC(=O)O)c1ccncc1,2,160,72
XIFHIF_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,9,0,Tb,O=C(O)c1ccc(C(=O)O)o1,3,120,21
VAJQOP_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1ccncc1C(=O)O,2,150,72
HABZEQ_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,2,160,72
LIJXEI_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,CC(=O)O,2,160,72
RUPTED_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cnccn1,1,140,72
DACXOV_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,9,0,Tb,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,3,170,72
BAZGEQ_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccc(-c5ccc(C(=O)O)cc5)cc4)nc(-c4ccc(-c5ccc(C(=O)O)cc5)cc4)n3)cc2)cc1,2,85,48
VIPXUO_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,c1cc(CC(c2ccncc2)C(Cc2ccncc2)c2ccncc2)ccn1,2,120,72
GEGDED_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(OCC(COc2cc(C(=O)O)cc(C(=O)O)c2)(COc2cc(C(=O)O)cc(C(=O)O)c2)COc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,2,60,72
AXOHIE_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,c1cc(-c2ccncc2)ccn1,2,200,96
KUHNIM_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,2,110,48
DUPJAB_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,c1nnc[nH]1,2,100,24
